slug,nombre,tipo,estado,eje_diferenciador,ficha_completa
skillnest,Skillnest (ex Coding Dojo),Bootcamp tecnológico,confirmado,"Empleabilidad, metodología intensiva, red de empresas",no
u-autonoma,Universidad Autónoma,Universidad privada,confirmado,"Acreditación, cuerpo académico, sedes",no
unab,Universidad Andrés Bello,Universidad privada,confirmado,"Acreditación, investigación, cobertura nacional",no
chile-conductores,Chile Conductores,OTEC vertical,por confirmar,"Reconversión desde otro rubro",no
cft-cenco,CFT CENCO,Centro de Formación Técnica,por confirmar,"Vínculo territorial, articulación técnica",no
cft-pucv,CFT PUCV,Centro de Formación Técnica,por confirmar,"Articulación con carreras técnicas PUCV",no
